epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,50.8654,0.83737,1.75049,1.19306,0.74138,0.38301,0.4153,0.27902,1.75993,2.44471,1.53905,2.82082e-05,2.82082e-05,2.82082e-05
40,52.0516,0.75687,0.97727,1.10822,0.74138,0.38301,0.4153,0.27902,1.75993,2.44471,1.53905,2.84911e-05,2.84911e-05,2.84911e-05
41,53.257,1.37453,2.16839,1.70165,0.94582,0.389,0.41982,0.28124,1.7568,2.39846,1.53468,2.87504e-05,2.87504e-05,2.87504e-05
42,54.3886,0.80451,1.13341,1.20456,0.94582,0.389,0.41982,0.28124,1.7568,2.39846,1.53468,2.89861e-05,2.89861e-05,2.89861e-05
43,55.5537,0.83344,0.88321,1.09236,0.94524,0.39067,0.41961,0.28954,1.74922,2.41515,1.5257,2.91983e-05,2.91983e-05,2.91983e-05
44,56.7425,0.89326,1.26807,1.24819,0.94524,0.39067,0.41961,0.28954,1.74922,2.41515,1.5257,2.93869e-05,2.93869e-05,2.93869e-05
45,57.9496,0.67958,1.25168,1.18109,0.94537,0.39094,0.42,0.28221,1.75056,2.36889,1.51281,2.9552e-05,2.9552e-05,2.9552e-05
46,59.1084,0.69249,0.92401,1.02773,0.94537,0.39094,0.42,0.28221,1.75056,2.36889,1.51281,2.96935e-05,2.96935e-05,2.96935e-05
47,60.255,0.69197,0.76043,1.01214,0.94708,0.39224,0.42088,0.28248,1.7507,2.34321,1.51074,2.98114e-05,2.98114e-05,2.98114e-05
48,61.4328,0.70685,0.90325,1.15822,0.94708,0.39224,0.42088,0.28248,1.7507,2.34321,1.51074,2.99058e-05,2.99058e-05,2.99058e-05
49,62.6895,0.85106,1.27486,1.27535,0.94876,0.39429,0.4211,0.31609,1.75313,2.30688,1.49909,2.99766e-05,2.99766e-05,2.99766e-05
50,63.9423,0.83519,1.52904,1.29284,0.94876,0.39429,0.4211,0.31609,1.75313,2.30688,1.49909,3.00238e-05,3.00238e-05,3.00238e-05
51,65.1887,0.69274,1.07097,1.12928,0.78222,0.39424,0.42101,0.31537,1.75337,2.35017,1.4955,3.00475e-05,3.00475e-05,3.00475e-05
